image,dance_style,viewpoint,num_couples,avg_nearest_neighbor,std_nearest_neighbor,cv_nearest_neighbor,min_nearest_neighbor,max_nearest_neighbor
STD_FORM_FB_AD_AV_154.jpg,STD,AV,8,201.53,53.59,0.266,149.59,304.28
STD_FORM_FB_AD_AV_155.jpg,STD,AV,8,201.67,47.39,0.235,156.53,295.03
STD_FORM_FB_AD_AV_156.jpg,STD,AV,8,186.01,27.74,0.149,163.11,229.0
STD_FORM_FB_AD_AV_157.jpg,STD,AV,7,250.85,51.43,0.205,208.58,312.41
STD_FORM_FB_AD_AV_159.jpg,STD,AV,6,138.52,112.13,0.81,1.5,247.49
STD_FORM_FB_AD_AV_160.jpg,STD,AV,5,242.89,55.87,0.23,199.75,336.38
STD_FORM_FB_AD_AV_161.jpg,STD,AV,5,275.58,39.99,0.145,236.66,331.52
STD_FORM_FB_AD_AV_165.jpg,STD,AV,5,187.09,64.35,0.344,121.3,268.67
STD_FORM_FB_AD_AV_166.jpg,STD,AV,8,232.97,43.66,0.187,186.64,310.33
STD_FORM_FB_AD_AV_167.jpg,STD,AV,7,252.94,48.5,0.192,215.99,345.92
STD_FORM_FB_AD_AV_168.jpg,STD,AV,7,205.86,31.12,0.151,187.38,275.55
STD_FORM_FB_AD_AV_169.jpg,STD,AV,7,219.42,37.64,0.172,177.58,279.86
STD_FORM_FB_AD_AV_170.jpg,STD,AV,7,205.68,25.26,0.123,173.95,230.8
STD_FORM_FB_AD_AV_171.jpg,STD,AV,8,164.76,12.2,0.074,151.35,178.79
STD_FORM_FB_AD_AV_172.jpg,STD,AV,5,321.49,30.13,0.094,300.53,373.48
STD_FORM_FB_AD_AV_173.jpg,STD,AV,5,305.35,37.16,0.122,275.94,346.89
STD_FORM_FB_AD_AV_174.jpg,STD,AV,5,271.52,32.19,0.119,237.08,300.13
STD_FORM_FB_AD_AV_175.jpg,STD,AV,6,300.31,47.24,0.157,269.99,392.45
STD_FORM_FB_AD_AV_176.jpg,STD,AV,5,246.56,48.17,0.195,221.32,332.47
STD_FORM_FB_AD_AV_177.jpg,STD,AV,7,263.57,29.48,0.112,238.46,317.31
STD_FORM_FB_AD_AV_178.jpg,STD,AV,8,197.4,23.03,0.117,181.44,239.89
STD_FORM_FB_AD_AV_179.jpg,STD,AV,7,184.89,49.69,0.269,137.68,282.33
